2019-04-25_09-19-16,episodes,10,avg_step,40.00,avg_reward,-0.69,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,0.0,0.0,-0.00468,-0.00866,0.0299,-0.00966,-0.2954,0.04603,-0.06692,-0.33549,0.00781,4.0,0.0,16.0,0.0,5.0,10.0,3.0,3.0,2.0
,state,0.0,1.0,-0.00282,-0.25055,-0.00362,-0.00977,-0.00949,-0.00495,-0.00648,-0.00678,-0.00847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,2.0,-0.08599,0.47825,-0.08408,-0.00719,-0.00773,-0.0011,-0.0095,-0.00881,-0.04459,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
,state,0.0,4.0,-0.00981,-0.02605,0.00468,-0.00822,-0.01682,-0.00818,-0.00785,0.07497,-0.04202,0.0,2.0,2.0,0.0,2.0,4.0,0.0,1.0,2.0
,state,0.0,18.0,-0.00336,-0.00987,-0.00577,-0.00752,-0.08457,-0.00016,-0.00226,-0.00884,-0.00845,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,state,0.0,20.0,-0.05309,-0.00366,-0.23827,-0.20075,0.25066,0.0664,0.03746,0.14517,0.0844,27.0,0.0,5.0,20.0,9.0,11.0,1.0,2.0,1.0
,state,0.0,21.0,-0.33629,-0.00433,-0.5317,-0.00882,-0.00748,-0.00231,-0.34328,-0.33889,-0.00311,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
,state,0.0,22.0,-0.00689,-0.00664,-0.0016,-0.08497,-0.00524,-0.08477,-0.08456,-0.00309,-0.00677,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
,state,0.0,24.0,-0.00724,-0.00974,-0.00653,-0.00186,-0.16961,-0.00951,-0.00739,-0.00626,-0.17122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
,state,0.0,25.0,-0.00086,-0.16882,-0.00625,-0.00764,-0.00139,-0.00506,-0.19217,-0.00431,-0.00353,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,state,0.0,33.0,-0.00584,-0.00248,-0.00991,0.33467,-0.00589,-0.00906,-0.00183,-0.00267,-0.00312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,34.0,-0.00702,-0.00941,-0.00569,-0.00733,-0.00822,0.0624,-0.00737,-0.00961,-0.00222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,state,0.0,40.0,-0.08653,-0.08712,-0.08527,-0.0883,-0.0085,0.05947,-0.42127,-0.08582,-0.08558,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
,state,0.0,41.0,-0.15846,-0.4231,-0.32866,-0.19486,-0.17407,-0.66685,-0.15812,-0.19598,-0.46988,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0
,state,1.0,0.0,0.1682,0.08322,0.0,0.07952,0.16374,0.0,0.0,0.11489,0.08852,30.0,1.0,0.0,2.0,4.0,0.0,0.0,3.0,1.0
,state,1.0,1.0,-0.00842,-0.0057,-0.00152,-0.00295,-0.00374,-0.00877,0.05919,-0.00643,-0.00761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,state,1.0,2.0,-0.00632,-0.00325,-0.00723,-0.08473,-0.08403,-0.08872,-0.0043,-0.35341,-0.08491,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0
,state,1.0,4.0,0.01127,0.03525,-0.00387,-0.0032,0.16802,-0.00772,0.23264,0.05279,0.04741,1.0,1.0,0.0,0.0,14.0,0.0,2.0,3.0,4.0
,state,1.0,17.0,-0.0094,-0.00891,-0.00237,-0.33629,-0.0081,-0.00903,-0.00052,-0.00206,-0.00214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,state,1.0,18.0,-0.00221,-0.00603,-0.00876,-0.00249,-0.00875,-0.0062,-0.003,-0.08981,-0.00833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,state,1.0,20.0,-0.00284,0.09466,0.14246,-0.00147,-0.08393,0.09285,-0.21788,0.085,0.28699,0.0,1.0,2.0,0.0,3.0,1.0,5.0,1.0,17.0
,state,1.0,22.0,-0.00885,-0.08537,-0.08524,-0.00523,-0.00853,-0.00892,-0.00202,-0.00703,-0.00934,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,1.0,24.0,-0.00227,-0.00681,-0.00963,-0.1694,-0.07451,-0.00886,-0.00641,-0.00383,-0.0073,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
,state,1.0,40.0,-0.08976,-0.11704,-0.00735,-0.08739,-0.08495,-0.00678,-0.00787,-0.08532,-0.0073,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
,state,1.0,41.0,-0.08675,-0.08425,-0.08846,-0.135,-0.08772,-0.08655,-0.13731,-0.0869,-0.08643,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
,state,2.0,0.0,0.12627,0.06063,0.06094,-0.00479,0.07056,0.11983,0.14713,0.22564,-0.08057,2.0,1.0,1.0,0.0,1.0,2.0,2.0,16.0,2.0
,state,2.0,1.0,-0.00636,-0.00229,-0.00569,0.01442,-0.00188,-0.00054,-0.101,-0.00439,-0.00016,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
,state,2.0,2.0,-0.00559,-0.00785,-0.08567,-0.08715,-0.08725,-0.13535,-0.00543,-0.00589,-0.00852,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0
,state,2.0,4.0,-0.00147,0.39482,-0.00163,-0.00222,-0.00951,-0.00897,-0.00338,-0.00247,-0.00205,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,2.0,18.0,-0.00646,-0.00478,-0.00763,-0.00479,-0.00902,-0.00639,-0.08683,-0.00301,-0.08542,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
,state,2.0,20.0,0.03314,0.14325,0.18412,-0.00918,0.09058,0.23525,0.14784,-0.00083,0.19257,27.0,2.0,4.0,0.0,1.0,3.0,2.0,0.0,2.0
,state,2.0,22.0,-0.08715,-0.00718,-0.00836,-0.17173,-0.08845,-0.00734,-0.00935,-0.08672,0.44776,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
,state,2.0,24.0,-0.0082,-0.00668,-0.00565,-0.00659,-0.08506,0.52936,-0.00804,-0.00674,-0.08624,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0
,state,2.0,40.0,-0.00632,-0.0844,-0.00386,-0.08449,0.34037,-0.00937,0.23334,-0.0035,-0.08519,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
,state,2.0,41.0,-0.0063,-0.00893,-0.08567,-0.13385,0.01367,-0.08513,-0.009,-0.00869,-0.00974,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0
