2019-04-26_16-52-19,episodes,50,avg_step,63.00,avg_reward,3.90,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,0.0,0.0,0.16531,0.21189,0.16844,0.19645,0.02274,0.09796,0.16288,0.15651,0.17078,49.0,40.0,46.0,60.0,56.0,64.0,62.0,67.0,148.0
,state,0.0,1.0,-0.11164,0.30848,0.4426,0.28855,0.29901,0.29724,0.21951,0.23373,0.29264,5.0,14.0,67.0,10.0,14.0,15.0,5.0,4.0,12.0
,state,0.0,2.0,-0.20877,-0.23046,-0.5004,-0.21364,-0.20327,-0.21192,-0.20718,-0.32045,-0.36298,3.0,6.0,9.0,3.0,18.0,3.0,3.0,4.0,7.0
,state,0.0,4.0,0.01778,0.06111,0.07619,0.00283,0.07729,0.09245,0.02215,-0.03091,0.04764,4.0,4.0,4.0,4.0,18.0,21.0,1.0,1.0,3.0
,state,0.0,16.0,-0.00662,-0.00191,0.2245,-0.00659,-0.00914,-0.00498,-0.00881,-0.00787,-0.00978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,18.0,-0.00203,-0.00883,-0.00577,-0.00331,-0.0056,-0.08614,-0.00264,-0.0044,-0.00743,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,state,0.0,20.0,-0.03424,0.17342,0.22458,0.27158,0.2085,0.13108,0.20904,0.14883,0.32575,22.0,13.0,15.0,11.0,8.0,26.0,11.0,20.0,68.0
,state,0.0,21.0,-0.00787,-0.00463,-0.00349,-0.2646,0.1282,-0.30828,-0.3464,-0.33895,-0.00316,0.0,0.0,0.0,13.0,3.0,2.0,1.0,1.0,0.0
,state,0.0,22.0,-0.08514,-0.00193,-0.00591,-0.07967,-0.00504,-0.0037,-0.00457,-0.00307,-0.00905,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,24.0,-0.1712,-0.19228,-0.17313,-0.19186,-0.00751,-0.19289,-0.00712,-0.00784,-0.17114,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
,state,0.0,25.0,-0.00815,-0.001,-0.21354,-0.00737,-0.00343,-0.00695,-0.00227,-0.19091,-0.00091,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
,state,0.0,33.0,-0.00849,-0.00857,-0.00705,-0.00908,-0.07887,-0.00547,-0.00487,-0.08654,-0.00686,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
,state,0.0,34.0,0.11656,-0.00927,-0.0037,-0.00551,-0.00078,-0.0066,-0.00039,-0.00984,-0.00682,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
