2019-04-24_21-19-52,episodes,50,avg_step,55.00,avg_reward,2.22,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,0.0,0.0,0.04973,0.09259,0.15427,0.12781,0.15251,0.2271,0.07507,0.09432,0.17444,32.0,25.0,38.0,36.0,124.0,50.0,68.0,62.0,59.0
,state,0.0,1.0,0.17057,0.26525,0.28554,0.32178,0.28171,-0.00729,0.2844,-0.27657,-0.17055,31.0,3.0,7.0,22.0,5.0,0.0,22.0,2.0,9.0
,state,0.0,2.0,-0.38882,-0.25887,-0.23468,-0.26051,-0.23984,-0.26472,0.24656,-0.22327,-0.22216,3.0,4.0,4.0,5.0,9.0,8.0,7.0,4.0,5.0
,state,0.0,4.0,0.03139,-0.00758,-0.02429,-0.00828,-0.05477,0.00289,-0.02123,-0.00369,-0.00843,17.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0
,state,0.0,18.0,-0.00186,-0.00763,-0.00343,-0.12866,-0.00821,-0.00601,-0.00574,-0.00802,-0.00802,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,20.0,0.15408,-0.25105,0.20914,-0.20144,0.22598,0.08402,-0.18987,0.01148,0.12726,43.0,9.0,4.0,15.0,7.0,4.0,40.0,1.0,2.0
,state,0.0,21.0,-0.40864,-0.38585,0.202,0.01476,-0.23711,-0.06945,-0.29565,-0.3151,-0.31485,5.0,5.0,14.0,6.0,17.0,5.0,5.0,2.0,2.0
,state,0.0,22.0,-0.17041,-0.13415,-0.08864,-0.08799,-0.09106,-0.08835,-0.0879,-0.13505,-0.08962,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
,state,0.0,24.0,-0.0014,-0.00301,-0.00367,-0.00971,-0.00936,-0.00681,-0.28401,-0.08464,-0.1946,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
,state,0.0,25.0,-0.00339,-0.00853,-0.23434,-0.00217,-0.00332,-0.00953,-0.00816,-0.00241,-0.00788,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,32.0,-0.00809,-0.00876,-0.00545,-0.00477,-0.00506,-0.00345,-0.08706,0.5703,-0.00794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
,state,0.0,33.0,-0.0008,-0.00937,-0.00163,-0.00997,-0.00954,-0.0062,-0.00432,-0.08519,-0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,state,0.0,38.0,-0.00727,-0.00896,-0.0081,0.06249,-0.00305,-0.00478,-0.08413,-0.00254,-0.00981,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
,state,0.0,40.0,-0.38427,-0.09125,-0.09048,-0.40607,-0.09208,-0.1562,-0.19978,-0.19948,-0.42419,2.0,1.0,1.0,5.0,1.0,2.0,2.0,3.0,1.0
,state,0.0,41.0,-0.42122,-0.47048,-0.47316,-0.42585,-0.3027,-0.57041,-0.50216,-0.30886,-0.41682,1.0,2.0,2.0,1.0,8.0,5.0,6.0,6.0,3.0
,state,1.0,0.0,0.21543,0.22903,0.22554,0.14519,0.23054,0.23734,0.23358,-0.22596,0.23144,39.0,36.0,72.0,105.0,110.0,181.0,132.0,149.0,41.0
,state,1.0,1.0,0.1111,-0.199,0.00427,0.00778,-0.0081,-0.20557,-0.00991,0.11656,-0.2195,1.0,32.0,5.0,6.0,0.0,2.0,0.0,2.0,10.0
,state,1.0,2.0,-0.24461,-0.28493,-0.20663,-0.4207,-0.19227,-0.45058,-0.21283,-0.20168,-0.3901,6.0,4.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0
,state,1.0,4.0,-0.00588,-0.00839,-0.00239,0.12591,0.14245,-0.00995,0.08438,-0.00856,0.38229,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,11.0
,state,1.0,18.0,-0.00481,-0.00689,-0.00805,-0.08538,-0.00746,-0.00287,-0.0091,-0.0081,-0.11741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,state,1.0,20.0,-0.00869,0.18244,-0.24511,0.09776,0.19352,0.04952,0.18203,0.36602,0.11643,0.0,4.0,3.0,1.0,2.0,4.0,2.0,48.0,4.0
,state,1.0,21.0,-0.00764,0.07571,-0.54143,-0.0047,-0.00791,-0.0029,-0.00835,-0.00834,-0.23411,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0
,state,1.0,22.0,-0.08873,-0.08689,-0.08994,-0.09184,-0.08729,-0.17114,-0.42357,-0.15569,0.37616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
,state,1.0,32.0,-0.00522,-0.00335,-0.0099,-0.08174,-0.08774,0.39009,-0.08854,-0.00828,-0.007,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
,state,1.0,33.0,-0.00625,-0.00842,-0.009,0.40937,-0.00512,-0.00386,-0.00636,-0.08456,-0.00645,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,state,1.0,36.0,-0.00791,-0.00656,-0.17063,-0.00805,-0.08586,-0.17295,-0.17408,-0.18638,-0.16952,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0
,state,1.0,38.0,-0.08519,-0.00712,-0.0081,-0.00648,-0.00351,-0.00461,-0.00707,-0.00191,-0.00532,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,1.0,40.0,-0.07127,-0.08804,-0.08743,-0.11958,-0.08544,-0.0898,-0.08702,-0.07608,-0.36123,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0
,state,1.0,41.0,-0.378,-0.56896,-0.3795,-0.47285,-0.47375,-0.41049,-0.30865,-0.57,-0.32654,5.0,6.0,3.0,2.0,2.0,4.0,6.0,5.0,7.0
,state,2.0,0.0,0.10644,0.14137,0.06299,0.13846,0.20726,0.18261,0.21017,0.18265,0.20243,114.0,25.0,92.0,215.0,53.0,46.0,54.0,79.0,53.0
,state,2.0,1.0,-0.01418,0.06891,-0.05255,0.05429,-0.22619,-0.36167,0.23659,-0.2462,-0.21947,9.0,9.0,28.0,14.0,19.0,10.0,37.0,19.0,13.0
,state,2.0,2.0,-0.32414,-0.38307,-0.25264,-0.15957,-0.49279,-0.25927,-0.22863,-0.22559,-0.42219,3.0,3.0,5.0,21.0,2.0,4.0,6.0,4.0,1.0
,state,2.0,4.0,-0.0072,0.15463,-0.00286,-0.0078,0.2252,-0.00254,0.27365,0.29636,0.52517,0.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,19.0
,state,2.0,8.0,-0.00546,-0.00792,-0.36222,-0.001,-0.00902,-0.00815,-0.00459,-0.00916,-0.00439,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,2.0,16.0,-0.01384,-0.00992,-0.00513,-0.00165,-0.00156,-0.00981,-0.00707,-0.00766,-0.00396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,2.0,17.0,-0.00817,-0.00717,-0.00575,-0.00783,-0.00393,-0.00245,-0.00791,0.1145,-0.00188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
,state,2.0,18.0,-0.00827,-0.00968,-0.08558,-0.08886,-0.08661,-0.10888,-0.08696,-0.10684,-0.10895,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,state,2.0,20.0,0.3033,0.22557,0.56025,0.09598,0.23264,0.24871,0.33697,0.29977,0.28504,10.0,4.0,60.0,1.0,4.0,4.0,21.0,6.0,4.0
,state,2.0,21.0,-0.00186,-0.07554,-0.00914,-0.34005,-0.00697,-0.00126,0.06153,-0.00121,-0.24043,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0
,state,2.0,22.0,0.31929,-0.16379,-0.1552,-0.19692,-0.21042,-0.15655,-0.19406,-0.17282,-0.29145,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0
,state,2.0,24.0,0.33548,-0.00584,-0.00838,-0.00885,0.45924,-0.00991,-0.00524,-0.00431,0.64777,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
,state,2.0,25.0,-0.00654,-0.00434,-0.00655,-0.00537,-0.00572,-0.22969,-0.0053,-0.00818,-0.21538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
,state,2.0,32.0,-0.1736,-0.08536,-0.08863,-0.08935,-0.08486,-0.00987,-0.17498,-0.08842,-0.08923,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
,state,2.0,33.0,-0.00713,-0.08676,-0.00304,-0.0844,-0.00518,-0.08974,-0.08847,-0.00312,-0.00047,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
,state,2.0,36.0,-0.00349,-0.09355,-0.00775,-0.00663,-0.00353,-0.00158,-0.00075,-0.00113,-0.00113,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,2.0,37.0,-0.0036,-0.0066,-0.00115,-0.00697,-0.00283,-0.00296,-0.007,-0.19014,-0.00606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
,state,2.0,38.0,-0.00539,-0.00407,-0.00734,-0.00866,-0.08492,-0.00661,-0.42175,-0.09643,-0.42144,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
,state,2.0,40.0,0.07231,-0.13765,-0.08945,-0.13796,0.03926,-0.08639,0.19125,-0.01154,-0.08714,8.0,5.0,1.0,3.0,5.0,1.0,6.0,2.0,2.0
,state,2.0,41.0,-0.28704,-0.29548,-0.29327,-0.29597,-0.29184,-0.30802,-0.27385,-0.31031,-0.11854,8.0,5.0,7.0,5.0,5.0,5.0,6.0,6.0,6.0
