2017-08-23_17-24-36,episodes,1140,avg_step,147.82,avg_reward,-543.86,Epsilon,0.01,Explored State,170
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.1,GAMMA,0.2,sleep_time,0.12,ActionNums,5
,angularSpeed,0.7,linearSpeed,0.3,,,,,OLD_DATA,"[1000, 134.77, -545.5, 1000]","[12, 3, 3, 0.1, 0.2, 0.12, 5]","[0.7, 0.3]","[0.36, 0.8, 1.45]"
,Crush thre,0.36,Sensing thre,0.8,1.45

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action Taken 0,A T 1,A T 2,A T 3,A T 4
,state,0.0,0.0,-29,-25,0,-27,-48,456,639,3099,798,1244
,state,0.0,1.0,-68,-21,-21,0,-28,411,241,514,3478,89
,state,0.0,2.0,-207,-337,0,-161,-230,202,29,1464,457,199
,state,0.0,3.0,-257,-299,-283,-259,0,40,9,54,85,365
,state,0.0,4.0,-27,-17,-72,0,-28,650,104,18,883,464
,state,0.0,5.0,-27,-18,-229,-54,0,35,4,10,7,1050
,state,0.0,6.0,-257,-243,-85,-229,0,30,27,235,18,835
,state,0.0,7.0,-103,-95,-95,0,-255,8,64,71,37,8
,state,0.0,8.0,-234,-238,-275,-3,-275,454,120,120,452,182
,state,0.0,9.0,-225,-27,-256,-11,-258,14,37,3,15,2
,state,0.0,10.0,-317,-373,-379,-349,-22,9,15,4,14,123
,state,0.0,11.0,-322,-257,-244,-10,-314,9,3,15,32,10
,state,0.0,12.0,-157,-383,-307,-408,-385,47,4,19,9,38
,state,0.0,13.0,-365,-240,-364,-323,-271,8,8,9,7,3
,state,0.0,14.0,-394,-21,-415,-397,-398,10,67,26,14,10
,state,0.0,15.0,-7,-2,-10,-2,-9,0,0,0,0,0
,state,0.0,16.0,-8,-9,-9,0,-85,135,474,2165,2304,896
,state,0.0,17.0,-9,0,-68,-9,-9,59,780,498,604,255
,state,0.0,18.0,-256,-257,-178,-255,0,5,113,137,146,312
,state,0.0,19.0,-264,-211,-35,-255,-256,8,6,63,67,52
,state,0.0,20.0,-25,0,-19,-36,-56,865,1123,529,90,220
,state,0.0,21.0,-179,-180,-69,-86,0,181,39,484,105,371
,state,0.0,22.0,-302,-342,-18,-384,-364,15,15,135,27,7
,state,0.0,23.0,-260,-257,-260,-6,-255,2,4,2,67,14
,state,0.0,24.0,-255,-119,-81,-9,-260,6,23,18,28,16
,state,0.0,25.0,-316,-659,-381,-163,-382,7,58,11,28,4
,state,0.0,26.0,-553,-386,-518,-645,0,28,25,64,61,174
,state,0.0,27.0,-256,-96,-255,-256,-268,4,49,4,7,14
,state,0.0,28.0,-365,-258,-205,-256,-272,8,3,19,3,5
,state,0.0,29.0,-255,-4,-8,-256,-256,4,0,0,7,3
,state,0.0,30.0,-256,-158,-260,-354,-256,4,18,2,8,4
,state,0.0,31.0,-5,-6,-4,-4,-7,0,0,0,0,0
,state,0.0,32.0,-95,0,-95,-31,-129,423,145,1389,289,25
,state,0.0,33.0,0,-4,-12,-95,-4,154,338,138,75,21
,state,0.0,36.0,-95,-52,0,-30,-232,1275,839,452,18,73
,state,0.0,37.0,-95,-256,-183,-170,-179,149,44,69,29,37
,state,0.0,40.0,-278,-269,-5,-256,-188,14,102,146,3,43
,state,0.0,41.0,-587,-285,-373,-281,-185,147,237,28,95,78
,state,0.0,42.0,-8,-8,-6,-10,-10,0,0,0,0,0
,state,0.0,43.0,-3,-3,-5,-10,-2,0,0,0,0,0
,state,0.0,44.0,-182,-172,-129,-274,-255,17,20,14,5,13
,state,0.0,45.0,-99,-9,-9,-95,-10,5,0,0,10,0
,state,0.0,46.0,-3,-5,-3,-2,-9,0,0,0,0,0
,state,0.0,47.0,-3,-8,-10,-8,-9,0,0,0,0,0
,state,0.0,48.0,-25,0,-33,-28,-11,56,175,97,81,35
,state,0.0,49.0,-7,-95,-2,-95,-6,0,76,20,47,0
