 , , ,log2019-04-25_09-26-06,ep ,42,step ,60,r ,-2.920
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,42,step,1,state,"(1, 0)",8,"(1, 0)",--,0.217,0.171,0.177,0.214,0.219,0.198,0.212,0.119,0.191,--,148,72,99,54,86,133,118,96,65,--,Epsilon = 0.32,0
Episode,42,step,6,state,"(1, 0)",4,"(0, 0)",--,0.217,0.196,0.177,0.214,0.227,0.198,0.212,0.119,0.191,--,148,73,99,54,89,133,118,96,66,--,Greedy,0.1
Episode,42,step,9,state,"(0, 0)",1,"(0, 20)",--,0.071,0.137,0.095,0.106,0.108,0.085,0.089,0.101,0.102,--,37,22,38,36,114,141,120,77,102,--,Greedy,-0.12
Episode,42,step,13,state,"(0, 20)",5,"(1, 20)",--,0.256,0.211,0.092,0.246,0.060,0.287,0.225,0.248,0.246,--,36,3,7,26,35,19,4,51,25,--,Greedy,0.1
Episode,42,step,14,state,"(1, 20)",7,"(2, 20)",--,0.261,0.259,0.258,0.235,0.253,0.262,0.203,0.397,0.259,--,9,8,8,3,31,48,9,50,82,--,Greedy,0.1
Episode,42,step,17,state,"(2, 20)",4,"(1, 20)",--,0.010,0.262,0.282,0.264,0.428,0.263,0.296,0.263,0.147,--,41,27,25,55,68,108,22,38,29,--,Greedy,0.1
Episode,42,step,18,state,"(1, 20)",7,"(2, 20)",--,0.261,0.259,0.258,0.235,0.253,0.262,0.203,0.399,0.259,--,9,8,8,3,31,48,9,51,82,--,Greedy,0.1
Episode,42,step,23,state,"(2, 20)",4,"(1, 20)",--,0.010,0.262,0.300,0.264,0.340,0.263,0.296,0.289,0.147,--,41,27,26,55,71,108,22,39,29,--,Greedy,0.1
Episode,42,step,27,state,"(1, 20)",3,"(0, 20)",--,0.261,0.276,0.258,0.268,0.253,0.262,0.203,0.345,0.259,--,9,9,8,4,31,48,9,53,82,--,Epsilon = 0.32,0.1
Episode,42,step,29,state,"(0, 20)",5,"(0, 40)",--,0.256,0.211,0.170,0.246,0.060,0.305,0.225,0.248,0.246,--,36,3,8,26,35,20,4,51,25,--,Greedy,-0.8
Episode,42,step,31,state,"(0, 40)",8,"(1, 40)",--,-0.087,-0.155,-0.154,-0.195,-0.091,-0.092,-0.367,-0.086,-0.086,--,1,2,2,2,1,2,2,1,1,--,Greedy,-0.2
Episode,42,step,32,state,"(1, 40)",4,"(2, 40)",--,-0.090,-0.137,-0.136,-0.087,-0.073,-0.137,-0.152,-0.085,-0.118,--,1,2,1,1,2,3,2,1,2,--,Greedy,-0.2
Episode,42,step,35,state,"(2, 40)",2,"(1, 40)",--,-0.089,-0.159,-0.087,-0.084,-0.176,-0.092,-0.135,-0.087,0.155,--,1,3,1,1,11,1,6,1,5,--,Epsilon = 0.32,-0.2
Episode,42,step,37,state,"(1, 40)",7,"(2, 40)",--,-0.090,-0.137,-0.136,-0.087,-0.130,-0.137,-0.152,-0.085,-0.118,--,1,2,1,1,4,3,2,1,2,--,Greedy,-0.2
Episode,42,step,40,state,"(2, 40)",5,"(2, 24)",--,-0.089,-0.159,-0.148,-0.084,-0.176,-0.092,-0.135,-0.087,-0.048,--,1,3,2,1,11,1,6,1,7,--,Epsilon = 0.32,0.15
Episode,42,step,42,state,"(2, 24)",0,"(2, 20)",--,0.270,-0.007,-0.006,-0.130,-0.085,0.106,-0.008,-0.007,-0.086,--,3,0,0,2,1,6,0,0,1,--,Greedy,0.8
Episode,42,step,43,state,"(2, 20)",1,"(0, 20)",--,0.010,0.262,0.300,0.264,0.328,0.263,0.296,0.289,0.147,--,41,27,26,55,72,108,22,39,29,--,Epsilon = 0.32,0.1
Episode,42,step,45,state,"(0, 20)",0,"(0, 40)",--,0.253,0.211,0.170,0.246,0.060,-0.180,0.225,0.248,0.246,--,37,3,8,26,35,21,4,51,25,--,Epsilon = 0.32,-0.8
Episode,42,step,48,state,"(0, 40)",4,"(0, 41)",--,-0.155,-0.155,-0.154,-0.195,-0.091,-0.092,-0.367,-0.155,-0.152,--,2,2,2,2,1,2,2,2,2,--,Greedy,-0.2
Episode,42,step,50,state,"(0, 41)",6,"(1, 33)",--,-0.353,-0.366,-0.611,-0.358,-0.468,-0.667,-0.348,-0.738,-0.399,--,7,3,3,8,7,2,7,6,3,--,Greedy,0.15
Episode,42,step,51,state,"(1, 33)",2,"(1, 1)",--,-0.005,-0.009,-0.000,-0.002,-0.007,-0.007,-0.005,-0.010,-0.004,--,0,0,0,0,0,0,0,0,0,--,Greedy,0.8
Episode,42,step,52,state,"(1, 1)",2,"(0, 1)",--,0.203,0.025,0.296,-0.179,0.256,-0.009,-0.063,0.160,0.231,--,2,28,7,11,5,0,5,5,5,--,Greedy,0.1
Episode,42,step,53,state,"(0, 1)",7,"(0, 2)",--,0.293,0.288,0.321,0.220,0.207,0.121,0.322,0.323,0.304,--,45,4,7,1,17,1,10,6,5,--,Greedy,-0.8
Episode,42,step,54,state,"(0, 2)",5,"(2, 2)",--,-0.153,-0.143,-0.153,-0.184,-0.158,-0.131,-0.158,-0.411,-0.160,--,3,7,2,3,2,2,4,1,4,--,Greedy,-0.2
Episode,42,step,55,state,"(2, 2)",2,"(1, 2)",--,-0.483,-0.137,-0.276,-0.156,-0.534,-0.135,-0.125,-0.157,-0.138,--,2,2,5,2,5,2,12,3,2,--,Epsilon = 0.32,-0.2
