 , , ,log2019-04-25_09-37-06,ep ,106,step ,33,r ,-1.320
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,106,step,1,state,"(0, 0)",5,"(0, 0)",--,0.216,0.134,0.219,0.213,0.181,0.226,0.163,0.136,0.202,--,106,84,83,144,316,236,260,224,177,--,Greedy,0
Episode,106,step,4,state,"(0, 0)",5,"(1, 0)",--,0.216,0.134,0.219,0.213,0.181,0.230,0.163,0.136,0.202,--,106,84,83,144,316,239,260,224,177,--,Greedy,0.1
Episode,106,step,8,state,"(1, 0)",8,"(2, 0)",--,0.235,0.234,0.107,0.209,0.237,0.232,0.233,0.213,0.231,--,251,157,235,168,303,271,307,297,224,--,Epsilon = 0.32,0.1
Episode,106,step,14,state,"(2, 0)",8,"(2, 1)",--,0.172,0.163,0.199,0.191,0.070,-0.048,0.103,0.120,0.232,--,252,323,224,325,257,225,165,155,132,--,Greedy,-0.12
Episode,106,step,18,state,"(2, 1)",3,"(1, 1)",--,-0.106,-0.623,-0.018,0.210,-0.216,-0.086,-0.041,-0.100,-0.241,--,13,43,29,97,19,39,38,20,19,--,Greedy,0.1
Episode,106,step,21,state,"(1, 1)",3,"(1, 2)",--,-0.084,-0.214,0.173,0.221,0.110,0.002,-0.072,-0.180,-0.397,--,56,62,17,18,13,10,16,12,10,--,Greedy,-0.8
Episode,106,step,22,state,"(1, 2)",1,"(0, 2)",--,-0.316,-0.210,-0.389,-0.406,-0.294,-0.290,-0.284,-0.299,-0.293,--,9,26,3,3,12,7,6,4,11,--,Greedy,-0.2
Episode,106,step,25,state,"(0, 2)",8,"(1, 2)",--,-0.195,-0.177,-0.299,-0.221,-0.453,-0.116,-0.619,-0.187,0.092,--,7,12,17,15,19,10,16,4,8,--,Greedy,-0.2
Episode,106,step,27,state,"(1, 2)",1,"(0, 2)",--,-0.316,-0.211,-0.389,-0.406,-0.294,-0.290,-0.284,-0.299,-0.293,--,9,28,3,3,12,7,6,4,11,--,Greedy,-0.2
Episode,106,step,31,state,"(0, 2)",8,"(2, 2)",--,-0.195,-0.203,-0.299,-0.221,-0.453,-0.116,-0.460,-0.209,-0.068,--,7,13,17,15,19,10,17,5,9,--,Greedy,-0.2
Episode,106,step,32,state,"(2, 2)",3,"(2, 0)",--,-0.387,-0.243,-0.169,-0.228,0.306,-0.235,-0.159,-0.151,-0.196,--,3,4,26,4,18,4,19,19,10,--,Epsilon = 0.32,0.8
Episode,106,step,33,state,"(2, 0)",5,"(2, 0)",--,0.172,0.163,0.199,0.191,0.070,-0.048,0.103,0.120,0.132,--,252,323,224,325,257,225,165,155,133,--,Epsilon = 0.32,-1
end
