 , , ,log2019-04-26_17-07-29,ep ,145,step ,54,r ,3.940
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,145,step,1,state,"(1, 0)",8,"(1, 0)",--,0.230,0.214,0.221,0.233,0.206,0.195,0.220,0.216,0.237,--,186,255,255,361,420,382,298,339,342,--,Greedy,0
Episode,145,step,4,state,"(1, 0)",8,"(2, 0)",--,0.230,0.224,0.221,0.233,0.206,0.195,0.220,0.216,0.237,--,186,256,255,361,420,382,298,339,344,--,Greedy,0.1
Episode,145,step,9,state,"(2, 0)",3,"(1, 0)",--,0.163,0.192,0.188,0.236,0.141,0.222,0.226,0.201,0.201,--,328,243,389,392,332,298,204,166,179,--,Greedy,0.1
Episode,145,step,10,state,"(1, 0)",4,"(0, 0)",--,0.230,0.224,0.221,0.233,0.206,0.195,0.220,0.216,0.237,--,186,256,255,361,420,382,298,339,345,--,Epsilon = 0.32,0.1
Episode,145,step,11,state,"(0, 0)",6,"(1, 0)",--,-0.239,0.116,0.219,-0.075,-0.224,0.160,0.222,-0.036,0.196,--,127,151,152,257,279,241,233,312,325,--,Greedy,0.1
Episode,145,step,12,state,"(1, 0)",8,"(2, 0)",--,0.230,0.224,0.221,0.233,0.216,0.195,0.220,0.216,0.237,--,186,256,255,361,421,382,298,339,345,--,Greedy,0.1
Episode,145,step,15,state,"(2, 0)",3,"(1, 0)",--,0.163,0.192,0.188,0.237,0.141,0.222,0.231,0.201,0.201,--,328,243,389,394,332,298,205,166,179,--,Greedy,0.1
Episode,145,step,17,state,"(1, 0)",8,"(2, 0)",--,0.230,0.224,0.221,0.233,0.216,0.195,0.220,0.216,0.237,--,186,256,255,361,421,382,298,339,347,--,Greedy,0.1
Episode,145,step,19,state,"(2, 0)",3,"(1, 0)",--,0.163,0.192,0.188,0.237,0.141,0.222,0.231,0.201,0.201,--,328,243,389,396,332,298,205,166,179,--,Greedy,0.1
Episode,145,step,21,state,"(1, 0)",8,"(2, 0)",--,0.230,0.224,0.221,0.233,0.216,0.195,0.220,0.225,0.237,--,186,256,255,361,421,382,298,340,348,--,Greedy,0.1
